CSCストアコード,都道府県,店舗名,お気に入り店舗QRのURL,画像名,屋号,画像表示開始日,画像表示終了日,市町村,住所,緯度,経度
0000023150,北海道,イオン札幌平岡店,https://www.aeon-hokkaido.jp/aeon/shop/hiraoka/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市清田区,平岡3条5-3-1,42.997239,141.458711
0000063490,北海道,イオン札幌藻岩店,https://www.aeon-hokkaido.jp/aeon/shop/moiwa/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市南区,川沿2条2-1-1,42.999839,141.336791
0000020111,北海道,イオン札幌元町ショッピングセンター,https://www.aeon.jp/sc/sapporomotomachi/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市東区,北31条東15-1-1,43.101521,141.368353
0000020110,北海道,イオン札幌元町店,https://www.aeon-hokkaido.jp/aeon/shop/motomachi/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市東区,北31条東15-1-1,43.101321,141.368153
0000063420,北海道,イオン静内店,https://www.aeon-hokkaido.jp/aeon/shop/shizunai/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,日高郡新ひだか町,静内末広町2-2-1,42.34297,142.355679
0000804130,北海道,イオン新さっぽろ店,https://www.aeon-hokkaido.jp/aeon/shop/shinsapporo/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市厚別区,厚別中央2条5-7-1,43.038183,141.471585
0000807070,北海道,イオン滝川店,https://www.aeon-hokkaido.jp/aeon/shop/takikawa/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,滝川市,東町2-25-3,43.554165,141.931207
0000063440,北海道,イオン伊達店,https://www.aeon-hokkaido.jp/aeon/shop/date/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,伊達市,末永町8-1,42.473537,140.862524
0000063540,北海道,イオン千歳店,https://www.aeon-hokkaido.jp/aeon/shop/chitose/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,千歳市,栄町6-51,42.82918,141.64866
0000030261,北海道,イオンモール苫小牧,https://www.aeon.jp/sc/tomakomai/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,苫小牧市,柳町3-1-20,42.65653,141.642223
